Unnamed: 0,movie_id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genres
14353,9989,en,Antitrust,14.356,2001-01-11,Antitrust,6.0,445,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
14354,630586,en,Wrong Turn,62.855,2021-01-26,Wrong Turn,6.0,890,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
14355,188161,en,A Million Ways to Die in the West,57.17,2014-05-22,A Million Ways to Die in the West,6.0,3671,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]"
14356,19384,en,Dark Angel,13.655,1990-01-26,Dark Angel,6.0,236,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}]"
14357,9092,en,Snow White: A Tale of Terror,20.944,1997-07-18,Snow White: A Tale of Terror,6.0,218,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]"
14358,2370,en,Topaz,12.262,1969-12-17,Topaz,6.0,311,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
14359,183,en,The Wizard,9.102,1989-12-15,The Wizard,6.0,265,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
14360,257091,en,Get Hard,17.984,2015-03-26,Get Hard,6.0,2425,"[{'id': 35, 'name': 'Comedy'}]"
14361,109491,en,Beautiful Creatures,21.584,2013-02-13,Beautiful Creatures,6.0,2664,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
14362,605804,en,The Wretched,17.711,2020-03-09,The Wretched,6.0,499,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
14363,505707,en,Waiting for the Barbarians,11.358,2019-09-06,Waiting for the Barbarians,6.0,300,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
14364,215211,en,Grace of Monaco,10.564,2014-04-22,Grace of Monaco,6.0,535,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
14365,12220,en,The Story of Us,9.965,1999-10-14,The Story of Us,6.0,262,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
14366,11932,en,Bride of Chucky,46.581,1998-10-16,Bride of Chucky,6.0,1600,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"
14367,9644,en,National Lampoon's Loaded Weapon 1,8.828,1993-02-04,National Lampoon's Loaded Weapon 1,6.0,612,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}]"
14368,441,en,Human Nature,8.776,2001-09-12,Human Nature,6.0,209,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
14369,320288,en,Dark Phoenix,46.346,2019-06-05,Dark Phoenix,6.0,5712,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
14370,308531,en,Teenage Mutant Ninja Turtles: Out of the Shadows,33.723,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,6.0,3114,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]"
14371,172391,en,Khumba,19.363,2013-07-18,Khumba,6.0,223,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]"
14372,14628,en,Fletch Lives,7.836,1989-03-17,Fletch Lives,6.0,242,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]"
14373,10349,en,The Dark Half,9.375,1993-04-23,The Dark Half,6.0,327,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]"
14374,9279,en,Jingle All the Way,17.025,1996-11-21,Jingle All the Way,6.0,2255,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]"
14375,220286,en,Grand Piano,8.628,2013-10-11,Grand Piano,6.0,451,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]"
